"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
3336,"Private Studio, 5 minutes from JFK",63056614,"Ana","Queens","Jamaica",40.67189,-73.77769,"Entire home/apt",2,40,"7/5/2019",4.44,1,123
3337,"Private, Sunny, Conveniently Located Room",130768576,"Virginia","Queens","Ditmars Steinway",40.77803,-73.91084,"Private room",1,77,"6/23/2019",3.66,1,145
3338,"Beautiful Sunny Private Penthouse Suite",23401472,"Heather","Manhattan","Harlem",40.82624,-73.94527,"Entire home/apt",30,1,"7/30/2016",0.03,2,244
3339,"Luxury 1BR 2 bed; no cleanup fee; fast response!",29964121,"Ricky","Manhattan","Financial District",40.70402,-74.00964,"Private room",1,17,"6/25/2019",1.63,1,362
3340,"Really Spectacular 1 Bedroom, Great Design",61391963,"Corporate Housing","Manhattan","Hell's Kitchen",40.76132,-73.99298,"Entire home/apt",30,2,"12/20/2018",0.11,91,4
3341,"Midtown Luxury Living room close to Highline",130982506,"Chen","Manhattan","Chelsea",40.75378,-74.00274,"Private room",14,0,NA,NA,1,0
3342,"EAST 141 FACE HARLEM
NEAR TO YANKE STADIUM",144839232,"Karla","Bronx","Mott Haven",40.80981,-73.92031,"Private room",1,9,"7/1/2019",3.38,1,176
3343,"Classic UWS doorman 3 BR. River, elevator, dogs",231704,"Judith","Manhattan","Upper West Side",40.7897,-73.97909,"Entire home/apt",30,0,NA,NA,3,358
3344,"Beautiful Renovated Duplex in Historic Townhouse",187671321,"Alan","Manhattan","Harlem",40.81868,-73.94417,"Entire home/apt",2,1,"6/26/2019",1,1,123
3345,"2BEDS or DOUBLE BED (KINGSIZE) / PRIVATE BATHROOM",32107612,"Eugon And David","Brooklyn","Bushwick",40.68886,-73.91906,"Private room",5,65,"6/29/2019",2.18,1,60
3346,"Nice & new room in 2 bedroom  apt. Washer/dryer 2R",122498535,"Gf","Brooklyn","East Flatbush",40.65695,-73.92558,"Private room",30,0,NA,NA,3,326
3347,"Sonder | The Nash | Brilliant Studio + Rooftop",219517861,"Sonder (NYC)","Manhattan","Murray Hill",40.74845,-73.97446,"Entire home/apt",2,4,"6/8/2019",0.94,327,137
3348,"Suite with Private Gated Entrance",12160792,"Sarah","Brooklyn","Brooklyn Heights",40.69183,-73.99592,"Entire home/apt",1,107,"7/5/2019",2.84,1,75
3349,"Peaceful cozy place in the middle of the crowds.",57230304,"Imanuelly","Queens","Elmhurst",40.73218,-73.88461,"Private room",1,1,"5/5/2019",0.46,3,364
3350,"Peaceful Bedroom in Brooklyn",13933851,"Yagil","Brooklyn","Bedford-Stuyvesant",40.69026,-73.92701,"Private room",4,2,"1/1/2018",0.09,2,0
3351,"Gorgeous Room in a renovated Woodside townhouse!",137358866,"Kazuya","Queens","Woodside",40.74958,-73.90011,"Private room",30,1,"6/1/2019",0.79,103,235
3352,"Spacious BR in large 2 BR apt in Roosevelt Island",69706365,"Bernardo","Manhattan","Roosevelt Island",40.76205,-73.94975,"Private room",4,2,"6/11/2016",0.05,2,0
3353,"Beautiful East Village Apartment",4655737,"Saara","Manhattan","East Village",40.72742,-73.98968,"Entire home/apt",5,9,"8/27/2017",0.2,1,0
3354,"Top Floor Brooklyn Pad 1.5Bd/1Bth",9975193,"Julianna & Lawrence","Brooklyn","Park Slope",40.67694,-73.9813,"Entire home/apt",3,6,"7/30/2018",0.13,1,0
3355,"❤️ of Wburg, Private Living+Entrance",1869332,"Elli","Brooklyn","Williamsburg",40.7188,-73.95775,"Private room",2,6,"7/29/2017",0.12,3,36
3356,"Great space, very large room,  excellent location",1409706,"Dasi","Brooklyn","Fort Greene",40.68889,-73.97632,"Private room",6,1,"7/2/2019",1,2,29
3357,"Central Park - Comfy King Room",224414117,"Gabriel","Manhattan","Hell's Kitchen",40.75504,-73.99716,"Private room",1,3,"5/9/2019",0.89,30,360
3358,"Midtown escape",76728828,"Jenna","Manhattan","Murray Hill",40.74696,-73.9746,"Entire home/apt",2,2,"10/14/2018",0.11,1,0
3359,"Spacious Studio-Style Junior Suite Two Queen beds",260618374,"The Knickerbocker","Manhattan","Theater District",40.75657,-73.9881,"Private room",1,0,NA,NA,13,351
3360,"Cozy room in sunny apartment across from park",3567433,"Wesley","Brooklyn","Bushwick",40.69118,-73.9083,"Private room",2,34,"7/1/2019",4.95,2,112
3361,"Large and cosy room with private insuite bathroom",22577148,"Diana","Brooklyn","Bedford-Stuyvesant",40.69473,-73.93437,"Private room",2,86,"7/2/2019",1.9,7,316
3362,"SUPERIOR KING ROOM -PRIME WILLIAMSBURG",198861577,"Novo","Brooklyn","Williamsburg",40.72132,-73.95463,"Private room",1,2,"4/4/2019",0.6,5,90
3363,"Williamsburg Apt, close to metro L",2543761,"Stephane","Brooklyn","Williamsburg",40.71915,-73.95581,"Entire home/apt",3,1,"1/4/2013",0.01,1,0
3364,"Artistic + peaceful studio in Greenpoint Brooklyn",213773496,"Michael","Brooklyn","Greenpoint",40.73449,-73.95716,"Private room",3,2,"10/8/2018",0.21,1,0
3365,"WeLive Wall Street -- 4 Bedroom",159610596,"WeWork","Manhattan","Financial District",40.70458,-74.00755,"Entire home/apt",1,127,"7/6/2019",6.68,6,253
3366,"Spacious room with balcony near downtown Manhattan",267886811,"Stu","Manhattan","Washington Heights",40.8462,-73.93498,"Private room",3,1,"6/30/2019",1,1,112
3367,"Nice Room in Charming Apt.",8338942,"Victor","Manhattan","Nolita",40.72228,-73.99582,"Shared room",1,8,"5/18/2019",0.24,4,0
3368,"IDEAL location in Brooklyn, Cozy private room",163012750,"Alexis","Brooklyn","Park Slope",40.68234,-73.97677,"Private room",6,0,NA,NA,1,44
3369,"Sunny, plant-filled & quiet Washington Heights apt",6769030,"Dina","Manhattan","Washington Heights",40.83477,-73.94293,"Private room",2,5,"6/22/2019",1.76,1,0
3370,"Room in a 4 bedroom Apt. in Harlem",14140782,"Adam","Manhattan","Harlem",40.81535,-73.95322,"Private room",1,0,NA,NA,1,0
3371,"Spacious 2 Queen beds steps away from Times Square",260618374,"The Knickerbocker","Manhattan","Theater District",40.75609,-73.98724,"Private room",1,0,NA,NA,13,343
3372,"Amazing rooftop for unforgettable stay in New York",31284229,"Eddie","Manhattan","East Harlem",40.79652,-73.93323,"Private room",1,1,"7/19/2017",0.04,1,0
3373,"A Brooklyn retreat. 25M subway to the city.",423117,"Jen","Brooklyn","Bedford-Stuyvesant",40.68203,-73.92472,"Private room",2,13,"5/19/2019",0.52,1,179
3374,"Quiet Washington Heights Studio Apartment",213824132,"John","Manhattan","Washington Heights",40.85035,-73.9325,"Entire home/apt",2,28,"6/30/2019",2.98,1,41
3375,"Nice  room midtown Manhattan 6rs",133130315,"Artem","Manhattan","Hell's Kitchen",40.76506,-73.98567,"Private room",3,6,"1/3/2019",0.41,6,225
3376,"SPACIOUS SUNLIT 2 BED/2 BATH APT IN WILLIAMSBURG",662432,"Emily","Brooklyn","Williamsburg",40.71657,-73.9595,"Entire home/apt",5,1,"8/4/2018",0.09,1,117
3377,"Lovely 2 BR Upper East NYC - 1 month min",15310997,"Mor","Manhattan","Upper East Side",40.78368,-73.94942,"Entire home/apt",30,8,"9/5/2018",0.14,9,336
3378,"Beautiful BedStuy Bedroom",6950091,"Shireen","Brooklyn","Bedford-Stuyvesant",40.68544,-73.92457,"Private room",1,1,"4/23/2017",0.04,1,0
3379,"Gorgeous Rooftop Views / Seconds From Train",22388757,"Jordan","Manhattan","Washington Heights",40.85075,-73.93982,"Entire home/apt",3,3,"7/7/2019",1.7,2,0
3380,"Clean, Trendy, Private Room in LES",35000945,"Jacqueline","Manhattan","Lower East Side",40.71748,-73.98364,"Private room",1,0,NA,NA,1,0
3381,"Charming, East Village One Bedroom",776290,"Barrett","Manhattan","East Village",40.72844,-73.98296,"Entire home/apt",3,1,"3/11/2019",0.25,1,5
3382,"2 Bedroom, Doorman. Roof deck. Skyview!",19446943,"Roger","Manhattan","Upper East Side",40.76236,-73.95827,"Entire home/apt",30,9,"8/31/2018",0.19,1,215
3383,"Bright studio in the heart of the east village",4996789,"Christine","Manhattan","East Village",40.72741,-73.97529,"Entire home/apt",1,146,"6/25/2019",3.92,1,78
3384,"Great NYC Apt in Forest Hills",2204011,"Beto","Queens","Forest Hills",40.71322,-73.83493,"Entire home/apt",4,11,"1/15/2019",0.31,1,15
3385,"2 Bed/2 Bath Upper East Manhattan Luxury Doorman",83934468,"B","Manhattan","Upper East Side",40.78149,-73.95168,"Entire home/apt",14,0,NA,NA,1,25
3386,"Sunny Room in Astoria",42870202,"Greg","Queens","Astoria",40.75978,-73.91748,"Private room",7,1,"12/17/2018",0.15,1,8
3387,"Huge Loft Studio in Hip Greenpoint!",10023505,"Gabriel","Brooklyn","Greenpoint",40.7347,-73.95727,"Shared room",1,1,"10/24/2015",0.02,1,0
3388,"The Spot! 25 min from NYC walk to Belmont Park",129559712,"Sidney","Queens","Queens Village",40.71024,-73.72928,"Entire home/apt",2,42,"7/7/2019",5.08,1,123
3389,"MODERN APT WITH AN AMAZING CITY VIEW IN MIDTOWN",82537581,"Gabriel","Manhattan","Hell's Kitchen",40.76802,-73.99298,"Entire home/apt",5,2,"7/1/2019",2,1,364
3390,"2 bedroom 2 bathroom UWS",6726364,"Alejandra","Manhattan","Upper West Side",40.79967,-73.96251,"Entire home/apt",3,3,"7/13/2017",0.11,2,0
3391,"A3Small Cozy Room in Long Island City",79105834,"Leo","Queens","Long Island City",40.75541,-73.9335,"Private room",1,90,"6/22/2019",3.31,9,273
3392,"Elegant Brownstone Duplex",12220316,"Mary","Brooklyn","Fort Greene",40.6857,-73.97088,"Entire home/apt",3,6,"8/27/2018",0.1,1,252
3393,"Queen size sofa bed in Harlem",547177,"Chryslaine","Manhattan","Harlem",40.82772,-73.93877,"Private room",1,15,"6/24/2019",0.21,1,329
3394,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,"Paula","Manhattan","Inwood",40.86648,-73.9263,"Private room",7,0,NA,NA,2,323
3395,"UPPER WEST SIDE - WEST END AVENUE AND 65TH ST",131647128,"Emily","Manhattan","Upper West Side",40.77418,-73.98799,"Entire home/apt",30,9,"2/19/2019",0.43,25,334
3396,"Madison Flat",30168484,"Eric","Brooklyn","Bedford-Stuyvesant",40.68671,-73.93886,"Entire home/apt",4,8,"6/18/2019",2.29,1,126
3397,"Sunny Private Room close to Manhattan(Blue)",255890676,"Hok Thu","Brooklyn","Bushwick",40.69612,-73.92918,"Private room",2,11,"7/1/2019",4.23,1,147
3398,"Queen Bed Room in Gowanus Boutique Hotel",33213436,"Alec","Brooklyn","Gowanus",40.67831,-73.98358,"Private room",1,34,"10/29/2018",1.09,8,364
3399,"Home For Medical Professionals - ""The Macula""",26377263,"Stat","Brooklyn","East Flatbush",40.65385,-73.93657,"Private room",19,0,NA,NA,43,347
3400,"Room in Home with Backyard in Bronx Little Italy",44851966,"Joseph","Bronx","Belmont",40.85449,-73.88437,"Private room",1,3,"7/3/2019",1.84,1,319
3401,"Sophisticated Artist Loft sale! Reg. $525.",6573459,"Shelli","Manhattan","Financial District",40.71086,-74.00721,"Entire home/apt",2,3,"5/24/2019",0.36,1,158
3402,"1min from the station K size bed 20min toManhattan",55468128,"Reina","Brooklyn","Bedford-Stuyvesant",40.68928,-73.95541,"Private room",1,53,"6/24/2019",3.29,7,264
3403,"#NAME?",31304940,"John","Brooklyn","Williamsburg",40.71692,-73.96353,"Private room",2,97,"6/15/2019",2.07,8,83
3404,"Pretty private room in Brooklyn by Prospect park",29013448,"Mari","Brooklyn","Prospect-Lefferts Gardens",40.65836,-73.96161,"Private room",2,15,"9/7/2017",0.43,2,0
3405,"Location Location - Cozy Room In Time Square",14935858,"Goran","Manhattan","Hell's Kitchen",40.75964,-73.99071,"Private room",1,41,"1/12/2019",1.62,2,8
3406,"Pleasant studio Chelsea (Manhattan)",50761842,"Michael","Manhattan","Chelsea",40.74443,-74.00259,"Entire home/apt",5,0,NA,NA,1,0
3407,"""The Little House by the Sea""",188328775,"Donna","Queens","Neponsit",40.57043,-73.85821,"Entire home/apt",2,7,"7/6/2019",0.55,1,44
3408,"Putnam Palace",39972598,"Barbara","Brooklyn","Bushwick",40.68847,-73.91989,"Private room",4,1,"11/27/2018",0.13,1,342
3409,"PRIVATE BIG ROOM w. Queen Bed, and quiet roommates",192383231,"Bryan","Bronx","Melrose",40.81894,-73.91418,"Private room",2,2,"6/30/2019",2,1,0
3410,"**Dominique's NYC couch bed **sleep*shower &  go**",310670,"Vie","Bronx","Eastchester",40.88211,-73.83625,"Shared room",1,1,"4/20/2019",0.37,13,318
3411,"Beautiful, sunny, private apartment",32935611,"Martha","Brooklyn","Sunset Park",40.64704,-74.00819,"Entire home/apt",4,23,"6/11/2019",2.61,1,31
3412,"NYC Beach House with Yard.",6227706,"Michael","Queens","Arverne",40.58817,-73.79914,"Private room",3,1,"6/29/2019",1,1,95
3413,"Sunny Guest Room in UES Apartment",16345024,"Amy","Manhattan","Upper East Side",40.77687,-73.9546,"Private room",2,1,"6/16/2016",0.03,1,0
3414,"Upper West Side - Private Room!",6897064,"Paula","Manhattan","Upper West Side",40.78138,-73.98318,"Private room",3,0,NA,NA,2,0
3415,"Nice Single room sublet for April 1st onward!",10348305,"Devin","Brooklyn","Flatbush",40.63967,-73.96424,"Private room",27,3,"7/31/2018",0.06,1,17
3416,"Sun-filled Nolita 1 Bdrm Apt - prime location",31668272,"Ava","Manhattan","Little Italy",40.719,-73.99565,"Entire home/apt",2,9,"6/4/2019",1.41,1,89
3417,"Apt in W 48th with  private patio",51501835,"Jeniffer","Manhattan","Hell's Kitchen",40.76441,-73.99437,"Entire home/apt",30,2,"12/3/2017",0.09,31,345
3418,"Private Room In Brooklyn Community House",35746135,"Lionel","Brooklyn","Borough Park",40.6289,-73.97683,"Private room",1,9,"3/30/2019",1.23,2,0
3419,"A+ Chelsea_global inspired  location. Large room",3464645,"Sybilla Michelle","Manhattan","Chelsea",40.74768,-73.99965,"Private room",2,0,NA,NA,3,70
3420,"1 Bedroom Apartment 1 minute walk to subway",93732420,"Tim","Queens","Astoria",40.76363,-73.92178,"Entire home/apt",5,0,NA,NA,2,0
3421,"Spacious Harlem room in tidy 4th-floor walkup",68684053,"Rose","Manhattan","Harlem",40.82095,-73.94007,"Private room",1,1,"5/14/2016",0.03,1,0
3422,"Private Room and bathroom in the best of Brooklyn",3136445,"Julie","Brooklyn","Carroll Gardens",40.6748,-74.00024,"Private room",2,25,"1/15/2017",0.68,1,0
3423,"COZY & BEAUTIFUL 1bdrm in Upper NYC",6517654,"Erin","Manhattan","Washington Heights",40.8385,-73.94288,"Entire home/apt",3,6,"5/29/2019",0.42,1,0
3424,"Harlem intimate room,20 min to Time Square,by Park",148544231,"Khalif","Manhattan","Harlem",40.80671,-73.95382,"Private room",3,5,"5/8/2018",0.23,2,89
3425,"Quaint Furnished Studio in Doorman Building!",234650220,"Pacita","Brooklyn","Brooklyn Heights",40.69657,-73.99604,"Entire home/apt",3,1,"6/1/2019",0.77,1,94
3426,"Sunny modern oasis near THE Park",9273561,"Nadine","Manhattan","East Harlem",40.79013,-73.94473,"Private room",2,21,"9/19/2016",0.5,1,0
3427,"4th floor art",183707967,"Dionyssios","Manhattan","Washington Heights",40.85277,-73.92916,"Entire home/apt",2,16,"6/23/2019",1.8,4,365
3428,"Charming Brooklyn oasis",198193838,"Roger","Brooklyn","Greenpoint",40.72478,-73.9383,"Entire home/apt",2,6,"5/19/2019",0.53,1,49
3429,"Gorgeous 1 BR on Upper East Side",4285208,"Brian","Manhattan","Upper East Side",40.77346,-73.9559,"Entire home/apt",7,8,"9/20/2018",0.22,1,294
3430,"PRIVATE Room, located on Central MANHATTAN***",7748646,"Denise","Manhattan","Upper East Side",40.7789,-73.95311,"Private room",3,134,"6/18/2019",1.96,1,108
3431,"Bright, spacious one bedroom in Brooklyn",7193111,"Tanya","Brooklyn","Crown Heights",40.67639,-73.94714,"Entire home/apt",1,15,"6/12/2019",1.42,1,2
3432,"Luxury Private Bedrm in Williamsburg Madison 3R-2",226410657,"Nina","Brooklyn","Bedford-Stuyvesant",40.68589,-73.93057,"Private room",30,0,NA,NA,27,358
3433,"Quaint Studio Space",156490310,"Niecia","Brooklyn","East New York",40.6697,-73.88407,"Entire home/apt",1,56,"7/1/2019",4.41,1,64
3434,"Small & Cozy Bedroom, L.E.S",20245055,"Sade","Manhattan","Lower East Side",40.71289,-73.98877,"Private room",3,27,"6/21/2019",0.56,2,261
3435,"Spacious Manhattan Apt minutes from Time Square",115589496,"Simona & Matther","Manhattan","Hell's Kitchen",40.75976,-73.9955,"Entire home/apt",2,26,"12/31/2018",1.41,1,0
3436,"Brand new renovated retreat 5 min from JFK!",46789694,"Tapashi","Queens","Springfield Gardens",40.66648,-73.7526,"Private room",1,28,"6/30/2019",7.85,2,340
3437,"Beautiful Bedroom in Harlem",4182834,"Cruz","Manhattan","Harlem",40.82169,-73.93882,"Private room",1,52,"8/14/2017",0.66,1,0
3438,"Cozy apartment in the Lower East Side, NYC!",3125516,"Eva","Manhattan","Lower East Side",40.718,-73.98497,"Entire home/apt",8,3,"11/30/2017",0.1,1,0
3439,"Low$pacious in Williamsburg, Bklyn",1412944,"Jason","Brooklyn","Williamsburg",40.71635,-73.94609,"Private room",3,0,NA,NA,1,358
3440,"1br wburg w/ views of NYC + doorman",99145869,"Sophie","Brooklyn","Williamsburg",40.71822,-73.95134,"Entire home/apt",30,6,"9/24/2018",0.29,1,164
3441,"Large, quiet room with backyard garden",1816548,"Ben","Brooklyn","Bedford-Stuyvesant",40.68774,-73.94867,"Private room",3,0,NA,NA,1,0
3442,"Fresh and cozy male room on Manhattan III",39528519,"Max","Manhattan","Lower East Side",40.7111,-73.98865,"Shared room",14,4,"2/9/2019",0.25,28,341
3443,"Light-filled master Bedroom by the Cloisters",41844032,"Violetta","Manhattan","Washington Heights",40.85768,-73.92855,"Private room",2,2,"7/7/2019",2,1,163
3444,"Quietly cool uptown 1BD apartment",3874544,"Justine","Manhattan","Harlem",40.82484,-73.95271,"Entire home/apt",4,8,"6/1/2019",1.06,1,0
3445,"Large bright modern apartment in luxury building",6965682,"Sharif","Brooklyn","Bushwick",40.70162,-73.93607,"Entire home/apt",5,1,"3/16/2019",0.26,1,0
3446,"Townhouse Apt. w/Backyard-20 min train to City!",7660014,"Vanessa","Brooklyn","Bedford-Stuyvesant",40.6825,-73.91596,"Entire home/apt",1,3,"6/28/2019",3,1,228
3447,"1 1/2 bedroom totally private  exclusive Apt. #4",134901180,"Aldric","Brooklyn","Bedford-Stuyvesant",40.68333,-73.95232,"Entire home/apt",7,4,"5/11/2019",0.29,2,179
3448,"Beyond the Valley of the Doll House",263331130,"Vanessa","Brooklyn","Bushwick",40.69969,-73.9199,"Private room",1,7,"6/25/2019",4.77,1,79
3449,"The Cozy Place",221442773,"Carlos & Vielca","Bronx","Pelham Bay",40.84391,-73.83171,"Entire home/apt",2,8,"1/1/2019",1.05,1,360
3450,"Chic & zen room in a very clean Brooklyn apt",43045034,"Thuy","Brooklyn","Bedford-Stuyvesant",40.6966,-73.93839,"Private room",3,27,"6/1/2019",1.81,1,0
3451,"Cozy Central Park Pad Close To Everything!",253429887,"Hubert & Val","Manhattan","Upper West Side",40.7762,-73.98028,"Entire home/apt",4,9,"7/2/2019",3.55,1,34
3452,"Lovely, Sunny 1-Bedroom Apt with Kitcat",160565,"Corina","Brooklyn","Bedford-Stuyvesant",40.68371,-73.95604,"Entire home/apt",1,3,"7/6/2015",0.06,1,0
3453,"Vickie's Home Away from Home",154232402,"Vickie","Brooklyn","Bedford-Stuyvesant",40.68613,-73.94021,"Entire home/apt",3,19,"7/2/2019",1.03,1,363
3454,"BEAUTIFUL Modern LOFT - Rooftop terrace",3699016,"Veronika","Brooklyn","Crown Heights",40.6774,-73.95133,"Entire home/apt",2,54,"6/27/2019",3.17,2,1
3455,"Bedstuy is the best, where I rest my chest",9334241,"George","Brooklyn","Bedford-Stuyvesant",40.68079,-73.94719,"Entire home/apt",2,2,"5/19/2019",0.64,1,177
3456,"Ready!",22042865,"Martha","Queens","Astoria",40.75678,-73.91644,"Private room",3,1,"6/27/2019",1,1,341
3457,"The Solstice - A One Bedroom Apartment",153150422,"Charles","Manhattan","Chelsea",40.74226,-74.00602,"Entire home/apt",2,11,"6/24/2018",0.53,1,2
3458,"NYC",58735878,"Jiandong","Manhattan","Harlem",40.82889,-73.94599,"Private room",1,1,"5/27/2016",0.03,1,0
3459,"Cozy flat with back Patio",27261471,"Philmore","Brooklyn","Canarsie",40.64693,-73.89537,"Entire home/apt",5,0,NA,NA,2,220
3460,"Cozy luxurious & private 1 1/2 bedroom in Brooklyn",134901180,"Aldric","Brooklyn","Bedford-Stuyvesant",40.68153,-73.9538,"Entire home/apt",7,8,"5/26/2019",0.33,2,355
3461,"Tays LES sanctuary",34382987,"Taylor","Manhattan","East Village",40.72384,-73.98407,"Private room",5,0,NA,NA,1,0
3462,"Artsy 1BR loft style in East Village (IT, PT, EN)",4264648,"Andy","Manhattan","East Village",40.72472,-73.98251,"Entire home/apt",5,3,"6/2/2019",1.58,1,19
3463,"Authentic Chelsea Studio Loft",89629761,"Juan","Manhattan","Chelsea",40.74913,-73.99575,"Entire home/apt",2,0,NA,NA,1,37
3464,"Green Renovated Victorian, Central AC/Radiant Heat",16006197,"Lydia","Brooklyn","South Slope",40.66744,-73.98798,"Private room",2,50,"7/6/2019",1.98,1,86
3465,"Steps away from the Heart of the Theater District!",244361589,"Row NYC","Manhattan","Theater District",40.75925,-73.98767,"Private room",1,1,"5/4/2019",0.45,9,299
3466,"Spacious very High ceiling place !",7728790,"Celin","Manhattan","Harlem",40.82407,-73.94434,"Private room",7,40,"6/13/2019",0.86,1,64
3467,"Artist's Creative Cozy Studio in Park Slope",5133495,"Mary Kathryn","Brooklyn","South Slope",40.66202,-73.98589,"Entire home/apt",3,8,"5/27/2019",0.15,1,0
3468,"Bohemian studio in Midtown",5288346,"Lauren","Manhattan","Upper East Side",40.7603,-73.96225,"Entire home/apt",1,1,"7/1/2019",1,1,1
3469,"Amazing  2 bed 2 bath in Williamsburg",14098199,"Lucas","Brooklyn","Williamsburg",40.71413,-73.95685,"Entire home/apt",5,0,NA,NA,1,209
3470,"NYC Time's Square Luxury Pent House Apartment",183989835,"Marcus","Manhattan","Midtown",40.76419,-73.97455,"Entire home/apt",3,22,"5/28/2019",1.62,1,278
3471,"Private 2BR / East Williamsburg, Bk",3891399,"Anthony","Brooklyn","Williamsburg",40.70369,-73.93284,"Private room",3,2,"11/3/2014",0.03,1,0
3472,"G’s NYC Airbnb",5313154,"Garrett","Manhattan","Washington Heights",40.83588,-73.94095,"Entire home/apt",30,0,NA,NA,1,98
3473,"Empty private place to crash for the night",188830760,"Stanley","Queens","Ridgewood",40.70367,-73.91063,"Private room",1,3,"9/30/2018",0.28,1,365
3474,"""Hop and Skip to NYC""",35819327,"Annette","Staten Island","Rosebank",40.61471,-74.06679,"Entire home/apt",2,1,"7/2/2019",1,1,0
3475,"Super Cute 2 Beds in the East village",2196224,"Sally","Manhattan","East Village",40.7295,-73.98327,"Entire home/apt",30,0,NA,NA,4,151
3476,"Private Room in the heart of NYC. Room 3 of 3",22463377,"Allison","Manhattan","Murray Hill",40.74907,-73.97818,"Private room",1,52,"7/4/2019",4.26,3,40
3477,"Bright Bedroom Steps to train Minutes to Manhattan",200621725,"Sue","Brooklyn","Williamsburg",40.7132,-73.94164,"Private room",2,75,"6/21/2019",6.2,2,15
3478,"Private Master Bedroom & Full Bath",9050420,"Anton","Manhattan","East Village",40.7278,-73.98041,"Private room",1,0,NA,NA,1,0
3479,"Spacious neo-country seaside loft",22893493,"Nick","Brooklyn","Red Hook",40.68039,-74.01729,"Entire home/apt",1,50,"6/2/2019",0.92,1,19
3480,"Charming townhouse",1849974,"Laura","Manhattan","Harlem",40.81872,-73.94363,"Entire home/apt",7,1,"5/24/2019",0.65,2,150
3481,"Gorgeous Spacious Duplex Apartment in Brooklyn",2300366,"Yosub","Brooklyn","Williamsburg",40.70761,-73.9424,"Entire home/apt",2,1,"10/4/2018",0.11,2,3
3482,"420 Friendly with that  Southern Charm",148958163,"Charles","Bronx","Wakefield",40.89685,-73.85382,"Shared room",1,0,NA,NA,1,0
3483,"Beautiful Sheepshead Bay  experience.",9484127,"Ken","Brooklyn","Sheepshead Bay",40.58387,-73.93957,"Entire home/apt",3,0,NA,NA,1,364
3484,"Stunning Pre-war Penthouse Studio",24344873,"Christopher","Manhattan","Kips Bay",40.74512,-73.98041,"Entire home/apt",10,3,"1/1/2016",0.05,1,0
3485,"Chelsea Gallery Space for events and exhibitions",3750764,"Kevin","Manhattan","Chelsea",40.75081,-74.00396,"Private room",1,0,NA,NA,6,364
3486,"Friendly, bright & safe first floor Brooklyn gem!",33738190,"Jen","Brooklyn","Sunset Park",40.66316,-73.99643,"Private room",1,0,NA,NA,3,0
3487,"One- Bedroom Apartment in the heart of LES.",44887757,"Ina","Manhattan","Lower East Side",40.71865,-73.98982,"Entire home/apt",4,12,"6/24/2019",0.89,1,31
3488,"True 2 Bedroom in Elevator Building in Prime LES",107562106,"Dan","Manhattan","Lower East Side",40.71983,-73.98686,"Entire home/apt",5,0,NA,NA,1,0
3489,"Clean & quiet apt home by the park",2787,"John","Brooklyn","Kensington",40.64749,-73.97237,"Private room",1,9,"10/19/2018",0.21,6,365
3490,"Lovely North Park Slope Private Garden Apartment",270144441,"Carla & Ken","Brooklyn","Park Slope",40.67817,-73.97603,"Entire home/apt",6,0,NA,NA,1,14
3491,"Modern cheap huge 1bd apt next to Central Pk & sub",30600933,"Helene","Manhattan","Harlem",40.79931,-73.95238,"Entire home/apt",1,15,"6/22/2019",2.43,1,35
3492,"Cozy bedroom in Long Island City",265506523,"Leila","Queens","Astoria",40.756,-73.91589,"Private room",2,1,"7/1/2019",1,1,87
3493,"Spacious, Clean , Close to Local Transportation",37360127,"Mel","Staten Island","Castleton Corners",40.61363,-74.12152,"Private room",30,0,NA,NA,1,365
3494,"Sunny Private Room in Huge Manhattan Apartment",252356839,"Leo","Manhattan","Harlem",40.82802,-73.94482,"Private room",2,2,"7/4/2019",1.36,2,2
3495,"Hilton timeshare west 57st",11721588,"Richard","Manhattan","Midtown",40.76486,-73.97885,"Private room",1,0,NA,NA,1,0
3496,"Spacious studio apartment on ideal LES block",526744,"Tessa","Manhattan","Chinatown",40.71614,-73.99085,"Entire home/apt",2,3,"11/4/2018",0.35,1,0
3497,"Harlem  Cottage",11160340,"Jerome","Manhattan","Morningside Heights",40.80387,-73.96096,"Entire home/apt",3,1,"4/5/2018",0.07,2,0
3498,"Clean & Spacious 2 BR in DwnTwn NYC, Walk to UNSQ!",272856249,"Alex","Manhattan","Gramercy",40.73258,-73.9819,"Entire home/apt",10,0,NA,NA,1,33
3499,"Warm, Sunny Artist Apartment in Harlem!",5409243,"Katie Rose","Manhattan","Harlem",40.82928,-73.94054,"Entire home/apt",3,1,"4/26/2019",0.41,2,3
3500,"quaint village apartment for up to 6",2488129,"Jacqueline","Manhattan","Greenwich Village",40.7286,-73.99971,"Entire home/apt",1,81,"6/25/2019",2.64,1,258
3501,"Cozy industrial loft in the heart of Williamsburg",253898121,"Denis","Brooklyn","Williamsburg",40.72178,-73.95653,"Entire home/apt",5,1,"5/19/2019",0.59,1,13
3502,"Private bedroom & bathroom in Greenpoint BK",100427647,"Denise","Brooklyn","Greenpoint",40.73261,-73.95157,"Private room",1,0,NA,NA,1,160
3503,"ingefära hus! Two bedroom apt in Williamsburg, BK",179679,"Ginger","Brooklyn","Williamsburg",40.71144,-73.95576,"Entire home/apt",2,4,"5/19/2019",0.99,3,14
